Brand,seriesname,Background Template,colorcode,finish,colorname,Color Code + Color Name,,nominalsize_1,nominalsize_2,nominalsize_3,nominalsize_4,nominalsize_5,nominalsize_6,nominalsize_7,nominalsize_8,nominalsize_9,nominalsize_10
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0031,Glossy,Fresh,Fresh 0031,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,8X24 Rectangle,,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0034,Matte,Matte Balance,Matte Balance 0034,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,4X4 Square,6X6 Square,8X24 Rectangle,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0035,Glossy,Calm,Calm 0035,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,4X4 Square,6X6 Square,8X24 Rectangle,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0036,Matte,Matte Calm,Matte Calm 0036,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,4X4 Square,6X6 Square,8X24 Rectangle,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0040,Glossy,Storm Gray,Storm Gray 0040,,2X8 Rectangle,4X12 Rectangle,4X16 Rectangle,4X4 Square,6X6 Square,8X24 Rectangle,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0040,Matte,Storm Gray,Storm Gray 0040,,3X6 Rectangle,,,,,,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0049,Glossy,Black,Black 0049,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,4X4 Square,6X6 Square,8X24 Rectangle,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0052,Matte,Matte Stable,Matte Stable 0052,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,4X4 Square,6X6 Square,8X24 Rectangle,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0053,Glossy,Dependable,Dependable 0053,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,4X4 Square,6X6 Square,8X24 Rectangle,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0055,Glossy,Stable,Stable 0055,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,4X4 Square,6X6 Square,8X24 Rectangle,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0056,Matte,Matte Dependable,Matte Dependable 0056,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,6X6 Square,8X24 Rectangle,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0058,Glossy,Restore,Restore 0058,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,8X24 Rectangle,,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0059,Glossy,Tranquility,Tranquility 0059,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,8X24 Rectangle,,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0061,Matte,Matte Designer White,Matte Designer White 0061,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,4X4 Square,6X6 Square,8X24 Rectangle,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0064,Matte,Matte Black,Matte Black 0064,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,4X4 Square,6X6 Square,8X24 Rectangle,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0068,Glossy,Grace,Grace 0068,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,8X24 Rectangle,,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0070,Glossy,Sapphire Sky,Sapphire Sky 0070,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,8X24 Rectangle,,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0075,Glossy,Lemon Zest,Lemon Zest 0075,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,8X24 Rectangle,,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0076,Glossy,Green Apple,Green Apple 0076,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,8X24 Rectangle,,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0077,Glossy,Mandarin,Mandarin 0077,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,8X24 Rectangle,,,,,
American Olean,Color Story Wall,AO_Color Story Wall.jpg,0082,Glossy,Wisdom,Wisdom 0082,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,4X16 Rectangle,8X24 Rectangle,,,,,
